Date,Open,High,Low,Close,Adj Close,Volume,Tiempo
05/07/13,57.580002,57.970001,57.330002,57.93,52.061333,1097400,0
08/07/13,58.040001,58.59,57.849998,57.860001,51.998428,1180100,1
09/07/13,58.080002,58.459999,57.709999,58.029999,52.151203,1134800,2
10/07/13,58.029999,58.529999,57.939999,58.43,52.510681,2120700,3
11/07/13,58.91,59.43,58.849998,59.049999,53.067875,1836100,4
12/07/13,59.049999,59.75,58.860001,59.540001,53.508224,1353300,5
15/07/13,59.490002,59.619999,59.130001,59.169998,53.175713,1353600,6
16/07/13,59.099998,59.580002,59.029999,59.32,53.310516,1448700,7
17/07/13,59.330002,59.59,59.099998,59.419998,53.400391,894100,8
18/07/13,59.369999,59.5,59,59.360001,53.34647,1222700,9
19/07/13,59.459999,60.080002,59.240002,59.849998,53.786831,2248800,10
22/07/13,59.73,59.950001,59.419998,59.869999,53.804802,2566900,11
23/07/13,59.75,60.689999,59.75,59.98,53.90366,2138100,12
24/07/13,56.41,56.880001,53.880001,56.040001,50.362801,7396700,13
25/07/13,55.950001,55.98,54.189999,54.25,48.754143,5029600,14
26/07/13,53.919998,54.34,53.619999,54.259998,48.763134,3245000,15
29/07/13,54.02,54.459999,53.740002,54.009998,48.538464,2143500,16
30/07/13,54.23,54.630001,53.900002,54.349998,48.844006,2568400,17
31/07/13,54.560001,55.259998,54.130001,54.830002,49.275383,2434000,18
01/08/13,55.07,55.400002,54.919998,55.32,49.715744,1417200,19
02/08/13,55.32,56.130001,55.150002,56.02,50.344833,1742500,20
05/08/13,55.799999,56.119999,55.639999,56.099998,50.416721,1190600,21
06/08/13,55.919998,56.52,55.84,56.400002,50.686333,1656500,22
07/08/13,56.189999,56.52,56.049999,56.48,50.758221,1679100,23
08/08/13,56.599998,57.16,56.259998,57.130001,51.342381,1721100,24
09/08/13,56.84,57.540001,56.84,57.360001,51.54908,1534500,25
12/08/13,57.049999,57.560001,56.799999,57.439999,51.620975,1898100,26
13/08/13,57.389999,57.939999,57.32,57.84,51.980453,1406500,27
14/08/13,57.68,57.959999,57.619999,57.709999,51.863625,1392900,28
15/08/13,57.099998,57.099998,56.52,56.959999,51.189606,3299600,29
16/08/13,57.310001,57.459999,56.900002,57.150002,51.360359,2011800,30
19/08/13,56.970001,57.52,56.939999,57.09,51.306431,1518600,31
20/08/13,56.959999,57.139999,56.849998,57.049999,51.270489,1913300,32
21/08/13,56.860001,57,55.779999,56.060001,50.380787,3258900,33
22/08/13,56.049999,56.450001,55.939999,56.330002,50.62344,1435500,34
23/08/13,56.490002,56.84,56.310001,56.740002,50.991894,1100300,35
26/08/13,56.59,57.060001,56.529999,56.549999,50.821136,1001500,36
27/08/13,56.029999,56.349998,55.700001,56.119999,50.4347,1720600,37
28/08/13,56.119999,56.599998,56.119999,56.389999,50.677338,1308900,38
29/08/13,56.259998,56.43,55.970001,56.189999,50.497604,1372400,39
30/08/13,56.16,56.209999,55.849998,56.009998,50.33585,1408800,40
03/09/13,56.380001,57,56.040001,56.279999,50.578491,1749400,41
04/09/13,56.220001,56.380001,55.959999,56.080002,50.398754,2384900,42
05/09/13,55.93,56.59,55.93,56.169998,50.479641,1457900,43
06/09/13,56.169998,56.810001,55.799999,56.470001,50.749245,1894600,44
09/09/13,56.630001,58,56.630001,57.59,51.755783,2370800,45
10/09/13,57.759998,58,57.139999,57.369999,51.558075,1794000,46
11/09/13,56.990002,57.32,56.639999,57.25,51.729752,1096500,47
12/09/13,57.349998,58,57.290001,57.5,51.955635,2043800,48
13/09/13,57.439999,57.529999,57.150002,57.459999,51.919502,1042300,49
16/09/13,58.060001,58.16,57.77,57.810001,52.235744,2050300,50
17/09/13,57.759998,58.290001,57.759998,58.279999,52.660427,1547200,51
18/09/13,58.25,59.380001,58.099998,59.259998,53.545937,2663700,52
19/09/13,59.220001,59.919998,59.200001,59.689999,53.934471,2588000,53
20/09/13,59.93,60.77,59.880001,60.389999,54.566967,8420000,54
23/09/13,60.16,60.389999,60.049999,60.369999,54.548901,1655200,55
24/09/13,60.23,60.23,59.919998,59.990002,54.205555,2714000,56
25/09/13,59.799999,60.119999,59.529999,59.849998,54.079044,1617800,57
